"data";"valor"
"01/01/1995";"3368,9"
"01/02/1995";"4097,5"
"01/03/1995";"4806,3"
"01/04/1995";"3948,1"
"01/05/1995";"4981,8"
"01/06/1995";"4981,2"
"01/07/1995";"4087,3"
"01/08/1995";"4545,8"
"01/09/1995";"3771,9"
"01/10/1995";"4160,4"
"01/11/1995";"4221,3"
"01/12/1995";"4016,6"
"01/01/1996";"3523,5"
"01/02/1996";"3518,7"
"01/03/1996";"3960,3"
"01/04/1996";"4157,2"
"01/05/1996";"4333,5"
"01/06/1996";"4251,9"
"01/07/1996";"4889,8"
"01/08/1996";"4744,6"
"01/09/1996";"4831,3"
"01/10/1996";"5579,5"
"01/11/1996";"4838,9"
"01/12/1996";"5718,2"
"01/01/1997";"2596,7"
"01/02/1997";"4333,8"
"01/03/1997";"4811,7"
"01/04/1997";"5623,9"
"01/05/1997";"4810,8"
"01/06/1997";"5297,2"
"01/07/1997";"5872,1"
"01/08/1997";"5458,3"
"01/09/1997";"5524,0"
"01/10/1997";"5733,3"
"01/11/1997";"5351,1"
"01/12/1997";"5387,5"
"01/01/1998";"4731,5"
"01/02/1998";"4032,6"
"01/03/1998";"5257,2"
"01/04/1998";"4718,7"
"01/05/1998";"4826,0"
"01/06/1998";"4794,3"
"01/07/1998";"5485,0"
"01/08/1998";"4246,1"
"01/09/1998";"5830,5"
"01/10/1998";"5549,6"
"01/11/1998";"4825,9"
"01/12/1998";"4544,4"
"01/01/1999";"3756,9"
"01/02/1999";"3255,5"
"01/03/1999";"4146,5"
"01/04/1999";"3765,0"
"01/05/1999";"4176,9"
"01/06/1999";"4550,7"
"01/07/1999";"4123,1"
"01/08/1999";"4556,6"
"01/09/1999";"4333,6"
"01/10/1999";"4550,5"
"01/11/1999";"4626,2"
"01/12/1999";"4538,2"
"01/01/2000";"3659,5"
"01/02/2000";"4137,0"
"01/03/2000";"4543,3"
"01/04/2000";"4087,1"
"01/05/2000";"4788,4"
"01/06/2000";"4696,7"
"01/07/2000";"4978,0"
"01/08/2000";"5516,1"
"01/09/2000";"5144,2"
"01/10/2000";"5278,7"
"01/11/2000";"5143,3"
"01/12/2000";"4963,8"
"01/01/2001";"5116,0"
"01/02/2001";"4096,3"
"01/03/2001";"5543,5"
"01/04/2001";"4705,1"
"01/05/2001";"5254,6"
"01/06/2001";"4855,8"
"01/07/2001";"4951,2"
"01/08/2001";"5193,7"
"01/09/2001";"4253,6"
"01/10/2001";"4853,3"
"01/11/2001";"4307,9"
"01/12/2001";"3598,8"
"01/01/2002";"3897,2"
"01/02/2002";"3490,0"
"01/03/2002";"3757,3"
"01/04/2002";"4236,0"
"01/05/2002";"4160,9"
"01/06/2002";"3495,1"
"01/07/2002";"5118,5"
"01/08/2002";"4268,9"
"01/09/2002";"4096,5"
"01/10/2002";"4377,5"
"01/11/2002";"3943,1"
"01/12/2002";"3536,2"
"01/01/2003";"3736,9"
"01/02/2003";"3978,1"
"01/03/2003";"3787,8"
"01/04/2003";"4076,8"
"01/05/2003";"3942,1"
"01/06/2003";"3608,1"
"01/07/2003";"4135,1"
"01/08/2003";"3819,5"
"01/09/2003";"4710,7"
"01/10/2003";"5119,7"
"01/11/2003";"4356,2"
"01/12/2003";"4091,7"
"01/01/2004";"4303,1"
"01/02/2004";"3846,5"
"01/03/2004";"5431,2"
"01/04/2004";"4720,8"
"01/05/2004";"4923,3"
"01/06/2004";"5621,9"
"01/07/2004";"5621,1"
"01/08/2004";"5714,2"
"01/09/2004";"5843,6"
"01/10/2004";"5931,3"
"01/11/2004";"6169,7"
"01/12/2004";"5778,2"
"01/01/2005";"5362,7"
"01/02/2005";"5078,9"
"01/03/2005";"6008,8"
"01/04/2005";"5433,4"
"01/05/2005";"6472,4"
"01/06/2005";"6275,2"
"01/07/2005";"6156,2"
"01/08/2005";"7795,1"
"01/09/2005";"6413,6"
"01/10/2005";"6336,9"
"01/11/2005";"6820,9"
"01/12/2005";"6670,6"
"01/01/2006";"6562,8"
"01/02/2006";"6081,4"
"01/03/2006";"7817,4"
"01/04/2006";"6852,5"
"01/05/2006";"7398,8"
"01/06/2006";"7476,6"
"01/07/2006";"8103,4"
"01/08/2006";"9228,9"
"01/09/2006";"8219,6"
"01/10/2006";"8848,1"
"01/11/2006";"8768,9"
"01/12/2006";"7330,7"
"01/01/2007";"8585,3"
"01/02/2007";"7351,0"
"01/03/2007";"9709,9"
"01/04/2007";"8399,6"
"01/05/2007";"9924,5"
"01/06/2007";"9427,9"
"01/07/2007";"10908,6"
"01/08/2007";"11692,4"
"01/09/2007";"10824,2"
"01/10/2007";"12471,7"
"01/11/2007";"12164,6"
"01/12/2007";"10724,4"
"01/01/2008";"12485,5"
"01/02/2008";"12082,2"
"01/03/2008";"11758,5"
"01/04/2008";"12460,0"
"01/05/2008";"15361,1"
"01/06/2008";"16000,0"
"01/07/2008";"17255,8"
"01/08/2008";"17582,0"
"01/09/2008";"17391,1"
"01/10/2008";"17318,2"
"01/11/2008";"13250,3"
"01/12/2008";"11631,0"
"01/01/2009";"10400,6"
"01/02/2009";"7919,9"
"01/03/2009";"10132,3"
"01/04/2009";"8693,4"
"01/05/2009";"9431,2"
"01/06/2009";"9941,4"
"01/07/2009";"11331,4"
"01/08/2009";"10865,7"
"01/09/2009";"12624,7"
"01/10/2009";"12833,6"
"01/11/2009";"12112,2"
"01/12/2009";"12365,1"
"01/01/2010";"11560,5"
"01/02/2010";"11887,0"
"01/03/2010";"15125,6"
"01/04/2010";"13964,9"
"01/05/2010";"14353,0"
"01/06/2010";"14927,8"
"01/07/2010";"16428,5"
"01/08/2010";"16924,4"
"01/09/2010";"17845,2"
"01/10/2010";"16644,1"
"01/11/2010";"17498,4"
"01/12/2010";"15673,8"
"01/01/2011";"14955,0"
"01/02/2011";"15673,8"
"01/03/2011";"17864,9"
"01/04/2011";"18455,0"
"01/05/2011";"19834,8"
"01/06/2011";"19409,0"
"01/07/2011";"19250,3"
"01/08/2011";"22397,1"
"01/09/2011";"20341,3"
"01/10/2011";"19889,4"
"01/11/2011";"21345,5"
"01/12/2011";"18464,7"
"01/01/2012";"17589,8"
"01/02/2012";"16441,2"
"01/03/2012";"19030,8"
"01/04/2012";"18838,8"
"01/05/2012";"20405,5"
"01/06/2012";"18698,2"
"01/07/2012";"18286,8"
"01/08/2012";"19292,6"
"01/09/2012";"17584,2"
"01/10/2012";"20247,4"
"01/11/2012";"20813,7"
"01/12/2012";"17634,6"
"01/01/2013";"20135,6"
"01/02/2013";"16949,9"
"01/03/2013";"19296,3"
"01/04/2013";"21754,3"
"01/05/2013";"21197,6"
"01/06/2013";"18952,5"
"01/07/2013";"22834,3"
"01/08/2013";"20338,9"
"01/09/2013";"19004,7"
"01/10/2013";"23185,8"
"01/11/2013";"19278,1"
"01/12/2013";"18260,7"
"01/01/2014";"19853,4"
"01/02/2014";"18200,7"
"01/03/2014";"17685,4"
"01/04/2014";"19353,0"
"01/05/2014";"20183,6"
"01/06/2014";"18252,7"
"01/07/2014";"21631,5"
"01/08/2014";"19485,8"
"01/09/2014";"20665,4"
"01/10/2014";"19716,1"
"01/11/2014";"18274,7"
"01/12/2014";"17424,9"
"01/01/2015";"16486,7"
"01/02/2015";"15115,4"
"01/03/2015";"16745,1"
"01/04/2015";"14782,2"
"01/05/2015";"14214,4"
"01/06/2015";"15268,3"
"01/07/2015";"15823,8"
"01/08/2015";"12985,2"
"01/09/2015";"13383,8"
"01/10/2015";"14216,2"
"01/11/2015";"12783,8"
"01/12/2015";"10617,3"
"01/01/2016";"10011,1"
"01/02/2016";"10489,7"
"01/03/2016";"11758,5"
"01/04/2016";"10730,3"
"01/05/2016";"11338,7"
"01/06/2016";"12989,3"
"01/07/2016";"11976,2"
"01/08/2016";"13092,4"
"01/09/2016";"12212,4"
"01/10/2016";"11616,6"
"01/11/2016";"11703,0"
"01/12/2016";"11761,5"
"01/01/2017";"12436,8"
"01/02/2017";"11127,2"
"01/03/2017";"13203,5"
"01/04/2017";"10960,3"
"01/05/2017";"12403,2"
"01/06/2017";"12861,3"
"01/07/2017";"12752,6"
"01/08/2017";"14177,3"
"01/09/2017";"13770,6"
"01/10/2017";"13972,2"
"01/11/2017";"13485,3"
"01/12/2017";"12959,0"
"01/01/2018";"14592,9"
"01/02/2018";"14732,5"
"01/03/2018";"14191,6"
"01/04/2018";"14444,7"
"01/05/2018";"13696,3"
"01/06/2018";"14723,0"
"01/07/2018";"19033,4"
"01/08/2018";"19243,0"
"01/09/2018";"14496,3"
"01/10/2018";"16567,2"
"01/11/2018";"17380,5"
"01/12/2018";"13388,4"
"01/01/2019";"16967,1"
"01/02/2019";"13087,0"
"01/03/2019";"13623,8"
"01/04/2019";"14176,8"
"01/05/2019";"15604,8"
"01/06/2019";"13714,0"
"01/07/2019";"18485,1"
"01/08/2019";"16165,5"
"01/09/2019";"17103,0"
